row_number,vendor_name,department,cost_usd,description,suggestion,classification_confidence,brand_group,classification_notes
2,Salesforce Uk Ltd-Uk,Sales,3117225.8877216,"Enterprise CRM platform powering Sales pipeline, opportunity management and revenue operations",CONSOLIDATE,H,Salesforce,
3,Navan (Tripactions Inc),G&A,357983.6164072,Global corporate travel and expense management platform,CONSOLIDATE,H,Navan / TripActions,Two entries for one vendor — combined spend ~$415.9K; normalise before reporting
4,Bdo Llp,Finance,343081.3853496,"External audit, accounting and business advisory firm (UK Big 4-tier)",CONSOLIDATE,H,,
5,Tog Uk Properties Limited,Facilities,263821.1593744,Commercial office property and workspace landlord (UK),OPTIMIZE,H,,
6,Cloudcrossing Bvba,Sales,208675.1466944,"Salesforce-native document generation tool (PDF Butler) for sales quotes, proposals and contracts",CONSOLIDATE,M,Cloudcrossing / PDF Butler,Strategy A: Salesforce AppExchange add-on → aligns with Salesforce Sales classification. Verify at integration diligence.
7,Zagrebtower D.O.O.,Facilities,183754.4183896,"Commercial office tower and workplace provider (Zagreb, Croatia)",OPTIMIZE,H,,
8,Innovent Spaces Private Limited,Facilities,147347.8039136,Coworking and serviced office space provider (India),OPTIMIZE,H,,
9,Weking D.O.O.,Facilities,144093.201148,Commercial property and office space provider (Croatia),OPTIMIZE,H,,
10,Jensten Insurance Brokers,G&A,142699.7305688,Corporate insurance broker managing employee and company-wide insurance policies,CONSOLIDATE,H,,
11,Gpt Space & Co,Facilities,133506.776816,Commercial office and event space provider (Australia),OPTIMIZE,H,,
12,Aetna Life And Casualty Ltd,G&A,124661.4588432,Employee health and life insurance provider,CONSOLIDATE,H,,
13,Rsm Uk Corporate Finance Llp,M&A,117077.8757856,"Specialist M&A deal advisory — sell/buy-side transactions, due diligence and valuations (separate legal entity from RSM audit/tax)",TERMINATE,H,,"Confirmed via Companies House (OC325347): exclusive M&A advisory LLP, not standard accounting"
14,Amazon Web Services Llc,Engineering,106399.2364888,Cloud infrastructure and compute services underpinning the product and SDLC (AWS),OPTIMIZE,H,Amazon Web Services / Amazon,
15,Telefonica Global Services Gmbh,Facilities,89879.5842232,International office telecommunications and connectivity services,CONSOLIDATE,H,,
16,Hr Solution International Gmbh,G&A,80822.7573232,"Global HR staffing, administration and workforce management services",CONSOLIDATE,H,HRsolution International,
17,4I Advisory Services,M&A,71860.3409824,M&A and financial restructuring advisory services including deal-related tax structuring,TERMINATE,M,4I Group,Strategy A: firm specialises in M&A + tax advisory; active deal context in dataset. If purely routine tax → reclassify to Finance.
18,Bisley Law Ltd,Legal,67414.2623224,"UK commercial law firm providing legal advice, representation and contract management",OPTIMIZE,H,,
19,Infosys,Professional Services,66570.422208,"Global IT services, technology consulting and outsourcing firm",CONSOLIDATE,H,,
20,Big Frontier Pty Ltd (Cult Of Monday),G&A,66131.303328,"People and culture advisory, executive coaching and leadership development firm (Australia)",CONSOLIDATE,M,,"Strategy A: People & Culture advisory + executive search → HR/people function → G&A. If engagement was function-specific recruitment, reclassify."
21,Harmonic Group Limited,Professional Services,65417.735148,Management consulting and business transformation firm (UK; acquired by KBR 2021),CONSOLIDATE,H,,
22,Wework Singapore Pte. Ltd.,Facilities,64373.3640784,Coworking and serviced office space provider (Singapore),OPTIMIZE,H,,
23,Cloud Technology Solutions Ltd,Professional Services,60661.3458128,IT consulting and Google Cloud platform implementation services,CONSOLIDATE,H,,
24,"Navan, Inc",G&A,57929.2945144,Corporate travel and expense management platform (US entity — same vendor as Navan/TripActions),CONSOLIDATE,H,Navan / TripActions,Two entries for one vendor (Navan/TripActions Inc + Navan Inc) — combined spend ~$415.9K; normalise before any recommendation.
25,Tmforum,Professional Services,57560.4346552,"Telecoms industry association providing standards, benchmarking and advisory resources",CONSOLIDATE,M,,Industry body membership — classified Professional Services; note TM Forum appears twice (also row 249 at $510)
26,Linkedin Ireland Limited,Marketing,55572.6898584,"Professional network platform for demand generation, employer branding and talent marketing",CONSOLIDATE,M,,Default Marketing; flip to Sales if LinkedIn Sales Navigator is primary product (insufficient data to confirm)
